club_name,player_name,age,position,specific_position,club_involved_name,fee,type_operation,fee_cleaned,year,season
Ittihad Club,Lima,25,Forward,Centre-Forward,São Caetano,free transfer,free,0.0,2007,2007/2008
Ittihad Club,Khaled Omar Gahwji,32,Midfield,Attacking Midfield,Jeddah FC,free transfer,free,0.0,2007,2007/2008
Ittihad Club,Tcheco,32,Midfield,Central Midfield,Grêmio,free transfer,free,0.0,2007,2007/2008
Ittihad Club,Marzouq Al-Otaibi,31,Forward,Centre-Forward,Al-Nasr SC,transfer,transfer,1300000.0,2007,2007/2008
Ittihad Club,Khamis Al-Owairan,33,Midfield,Defensive Midfield,Retired,retired,retired,0.0,2007,2007/2008
Ittihad Club,Hamzah Idris,35,Forward,Centre-Forward,Retired,retired,retired,0.0,2007,2007/2008
Al-Ahli SFC,Nunes,25,Forward,Centre-Forward,América-RN,free transfer,free,0.0,2007,2007/2008
Al-Ahli SFC,Turki Al-Thagafi,28,Midfield,Attacking Midfield,Al-Ahli SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Ahli SFC,Mansour Al-Harbi,19,Defence,Left-Back,Al-Ahli SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Ahli SFC,Alaa Al-Rishani,19,Midfield,Defensive Midfield,Al-Ahli SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Ahli SFC,Taiseer Al-Jassam,22,Midfield,Central Midfield,Al-Gharafa SC,"end of loanjun 30, 2007",loan,0.0,2007,2007/2008
Al-Ahli SFC,Naif Al-Qadi,28,Defence,Centre-Back,Al-Rayyan SC,"end of loanjun 1, 2007",loan,0.0,2007,2007/2008
Al-Ahli SFC,Saleh Al-Mohammadi,26,Midfield,Attacking Midfield,Al-Faisaly FC,"end of loanjun 30, 2007",loan,0.0,2007,2007/2008
Al-Ahli SFC,Talal Al-Meshal,29,Forward,Centre-Forward,Al-Nasr SC,"end of loanjun 30, 2007",loan,0.0,2007,2007/2008
Al-Ahli SFC,Naif Al-Qadi,28,Defence,Centre-Back,Al-Shabab SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Ahli SFC,Talal Al-Meshal,29,Forward,Centre-Forward,Al-Markhiya SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Ahli SFC,Darko Anic,33,Midfield,Central Midfield,Retired,retired,retired,0.0,2007,2007/2008
Al-Ahli SFC,Caio,26,Midfield,Attacking Midfield,Coritiba FC,"end of loanjun 30, 2007",loan,0.0,2007,2007/2008
Al-Nassr FC,Élton,21,Midfield,Attacking Midfield,Steaua Bucharest,€500k,transfer,500000.0,2007,2007/2008
Al-Nassr FC,Abdullah Al-Waked,31,Midfield,Central Midfield,Ittihad Club,free transfer,free,0.0,2007,2007/2008
Al-Nassr FC,Porfírio,33,Forward,Centre-Forward,Oriental,transfer,transfer,1300000.0,2007,2007/2008
Al-Nassr FC,Marzouq Al-Otaibi,31,Forward,Centre-Forward,Ittihad Club,transfer,transfer,1300000.0,2007,2007/2008
Al-Nassr FC,Denílson,29,Forward,Left Winger,Dallas,free transfer,free,0.0,2007,2007/2008
Al-Nassr FC,Abdulaziz Al-Janoubi,30,Defence,Centre-Back,Unknown,transfer,transfer,1300000.0,2007,2007/2008
Al-Nassr FC,Adrian Aliaj,30,Defence,Left-Back,Retired,retired,retired,0.0,2007,2007/2008
Al-Nassr FC,Massamasso Tchangai,28,Defence,Centre-Back,Without Club,transfer,transfer,1300000.0,2007,2007/2008
Al-Nassr FC,Talal Al-Meshal,29,Forward,Centre-Forward,Al-Ahli SC,"end of loanjun 30, 2007",loan,0.0,2007,2007/2008
Al-Shabab FC,Nasser Al-Shamrani,23,Forward,Centre-Forward,Al-Wehda,€2.57m,transfer,2570000.0,2007,2007/2008
Al-Shabab FC,Juan Manuel Martínez,21,Forward,Right Winger,Vélez Sarsfield,loan fee:€200k,loan,200000.0,2007,2007/2008
Al-Shabab FC,Michael Eneramo,21,Forward,Centre-Forward,Esperance,free transfer,free,0.0,2007,2007/2008
Al-Shabab FC,Camacho,27,Midfield,Attacking Midfield,Al-Arabi SC,free transfer,free,0.0,2007,2007/2008
Al-Shabab FC,Naif Al-Qadi,28,Defence,Centre-Back,Al-Ahli SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Shabab FC,Runa,23,Defence,Centre-Back,FC Marco,transfer,transfer,1300000.0,2007,2007/2008
Al-Shabab FC,Nashat Akram,22,Midfield,Attacking Midfield,Al-Ain FC,€732k,transfer,732000.0,2007,2007/2008
Al-Shabab FC,Naif Mousa,20,Defence,Left-Back,Al-Hazem,free transfer,free,0.0,2007,2007/2008
Al-Shabab FC,Godwin Attram,27,Forward,Centre-Forward,Al-Hazem,transfer,transfer,1300000.0,2007,2007/2008
Al-Shabab FC,Amir Azmi Megahed,24,Defence,Centre-Back,Without Club,transfer,transfer,1300000.0,2007,2007/2008
Al-Ettifaq FC,Prince Tagoe,20,Forward,Centre-Forward,Al-Shabab SC,€1.00m,transfer,1000000.0,2007,2007/2008
Al-Ettifaq FC,Abdulrahman Al-Qahtani,24,Midfield,Left Midfield,Ittihad Club,free transfer,free,0.0,2007,2007/2008
Al-Ettifaq FC,Wajih Sghaier,28,Midfield,Attacking Midfield,Stade Tunisien,free transfer,free,0.0,2007,2007/2008
Al-Ettifaq FC,Ousmane N'Doye,29,Midfield,Defensive Midfield,Coimbra,"end of loanjun 30, 2007",loan,0.0,2007,2007/2008
Al-Wehda FC,Nasser Al-Shamrani,23,Forward,Centre-Forward,Al-Shabab SC,€2.57m,transfer,2570000.0,2007,2007/2008
Al-Wehda FC,Hassan Mostafa,28,Midfield,Defensive Midfield,El Ahly,"end of loanmay 1, 2008",loan,0.0,2007,2007/2008
Al-Hazem SC,Zain Al-Abdeen,19,Midfield,Midfield,Anderlecht U19,free transfer,free,0.0,2007,2007/2008
Al-Hazem SC,Naif Mousa,20,Defence,Left-Back,Al-Shabab SC,free transfer,free,0.0,2007,2007/2008
Al-Hazem SC,Godwin Attram,27,Forward,Centre-Forward,Al-Shabab SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Hazem SC,Said Al-Shoon,23,Defence,Defence,Muscat Club,transfer,transfer,1300000.0,2007,2007/2008
Al-Hazem SC,Iranildo,30,Midfield,Attacking Midfield,Brasiliense,free transfer,free,0.0,2007,2007/2008
Al-Hazem SC,Toy,30,Forward,Centre-Forward,Olhanense,transfer,transfer,1300000.0,2007,2007/2008
Al-Hazem SC,Geilson,23,Forward,Centre-Forward,Atlético-PR,transfer,transfer,1300000.0,2007,2007/2008
Al-Hazem SC,Anderson Potty,27,Forward,Attack,Unknown,transfer,transfer,1300000.0,2007,2007/2008
Najran SC,Jaber Al-Aameri,21,Goalkeeper,Goalkeeper,Al-Faisaly FC,free transfer,free,0.0,2007,2007/2008
Najran SC,Wilsinho,24,Forward,Left Winger,Caldas Novas,transfer,transfer,1300000.0,2007,2007/2008
Najran SC,Abdelfatha Safi,26,Midfield,Attacking Midfield,Entente SSG,transfer,transfer,1300000.0,2007,2007/2008
Najran SC,Bamba Drissa,22,Midfield,Defensive Midfield,US Monastir,transfer,transfer,1300000.0,2007,2007/2008
Al-Watani,Sylvain Idangar,23,Forward,Left Winger,Olympique Lyon,free transfer,free,0.0,2007,2007/2008
Al-Watani,Ousmane Traoré,30,Defence,Defence,AS Saint-Priest,transfer,transfer,1300000.0,2007,2007/2008
Al-Tai FC,Ahmed Khaleel,36,Defence,Defence,Al-Hilal FC,transfer,transfer,1300000.0,2007,2007/2008
Al-Tai FC,Abdulla Al Marzooqi,26,Defence,Centre-Back,Kuwait SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Qadsiah FC,Abdulmalek Al-Khaibri,21,Midfield,Defensive Midfield,Al-Qadsiah FC,transfer,transfer,1300000.0,2007,2007/2008
Al-Qadsiah FC,Saraiva,24,Midfield,Left Midfield,Herfölge BK,free transfer,free,0.0,2007,2007/2008
Al-Qadsiah FC,Mohamed Madihi,28,Midfield,Attacking Midfield,Wydad AC,transfer,transfer,1300000.0,2007,2007/2008
Al-Qadsiah FC,Saad Al-Shehri,27,Midfield,Midfield,Al-Jubail,transfer,transfer,1300000.0,2007,2007/2008
Al-Hilal SFC,Lelo Mbele,20,Forward,Centre-Forward,CS Sfaxien,€900k,transfer,900000.0,2007,2007/2008
Al-Hilal SFC,Baba Adamu,28,Forward,Centre-Forward,Asante Kotoko,loan transfer,loan,0.0,2007,2007/2008
Al-Hilal SFC,Marco Vanzini,31,Midfield,Defensive Midfield,Juventude,transfer,transfer,1300000.0,2007,2007/2008
Al-Hilal SFC,Mohamed Kallon,28,Forward,Centre-Forward,Without Club,transfer,transfer,1300000.0,2007,2007/2008
Al-Hilal SFC,Mohamed Kallon,28,Forward,Centre-Forward,AEK Athens,free transfer,free,0.0,2007,2007/2008
Al-Hilal SFC,Guarú,26,Midfield,Attacking Midfield,Barueri,free transfer,free,0.0,2007,2007/2008
Al-Hilal SFC,Hassan Al-Otaibi,30,Goalkeeper,Goalkeeper,Al-Qadsiah FC,transfer,transfer,1300000.0,2007,2007/2008
Al-Hilal SFC,Bruno Agnello,22,Midfield,Attacking Midfield,Boavista,transfer,transfer,1300000.0,2007,2007/2008
Ittihad Club,Biscotte Mbala,22,Forward,Centre-Forward,Yverdon Sport,loan transfer,loan,0.0,2007,2007/2008
Ittihad Club,Naif Ahmed Taib Hazazi,19,Forward,Centre-Forward,Ittihad Club,transfer,transfer,1300000.0,2007,2007/2008
Ittihad Club,Tcheco,31,Midfield,Central Midfield,Grêmio,"end of loandec 1, 2007",loan,0.0,2007,2007/2008
Ittihad Club,Robert,26,Forward,Centre-Forward,Monterrey,transfer,transfer,1300000.0,2007,2007/2008
Ittihad Club,Renan Teixeira,22,Midfield,Defensive Midfield,São Paulo,"end of loanmar 1, 2008",loan,0.0,2007,2007/2008
Al-Ahli SFC,Val Baiano,26,Forward,Centre-Forward,SE Gama,free transfer,free,0.0,2007,2007/2008
Al-Ahli SFC,Caio,27,Midfield,Attacking Midfield,Coritiba FC,free transfer,free,0.0,2007,2007/2008
Al-Ahli SFC,Leandro Silva,28,Defence,Centre-Back,Galo Maringá,loan transfer,loan,0.0,2007,2007/2008
Al-Ahli SFC,Nunes,25,Forward,Centre-Forward,Bragantino,free transfer,free,0.0,2007,2007/2008
Al-Ahli SFC,Rabi Al-Mousa,23,Defence,Right-Back,Al-Taawoun,loan transfer,loan,0.0,2007,2007/2008
Al-Ahli SFC,Khaled Badra,34,Defence,Centre-Back,Esperance,"end of loanjan 1, 2008",loan,0.0,2007,2007/2008
Al-Nassr FC,Abdelkarim Nafti,26,Midfield,Attacking Midfield,CS Sfaxien,loan fee:€350k,loan,350000.0,2007,2007/2008
Al-Shabab FC,Michael Eneramo,22,Forward,Centre-Forward,Esperance,free transfer,free,0.0,2007,2007/2008
Al-Shabab FC,Runa,24,Defence,Centre-Back,Juv. Évora,transfer,transfer,1300000.0,2007,2007/2008
Al-Ettifaq FC,Radu Negut,26,Midfield,Attacking Midfield,Forex Brasov,transfer,transfer,1300000.0,2007,2007/2008
Al-Wehda FC,Hassan Mostafa,27,Midfield,Defensive Midfield,El Ahly,loan fee:€250k,loan,250000.0,2007,2007/2008
Al-Wehda FC,Pierre Njanka,32,Defence,Right-Back,Club Africain,free transfer,free,0.0,2007,2007/2008
Al-Hazem SC,Fábio,29,Forward,Centre-Forward,Volta Redonda,free transfer,free,0.0,2007,2007/2008
Al-Hazem SC,Fábio,29,Forward,Centre-Forward,Volta Redonda,free transfer,free,0.0,2007,2007/2008
Al-Watani,Yacine Hima,23,Midfield,Central Midfield,FC Aarau,free transfer,free,0.0,2007,2007/2008
Al-Tai FC,Badr Al-Dakheel,22,Defence,Centre-Back,Al-Mojzel,transfer,transfer,1300000.0,2007,2007/2008
Al-Qadsiah FC,Hassan Al-Otaibi,30,Goalkeeper,Goalkeeper,Al-Hilal FC,transfer,transfer,1300000.0,2007,2007/2008
Al-Qadsiah FC,Talal Al-Shmaly,18,Midfield,Right Midfield,Kuwait SC,transfer,transfer,1300000.0,2007,2007/2008
Al-Qadsiah FC,Walter Minhoca,25,Midfield,Attacking Midfield,Cruzeiro,loan transfer,loan,0.0,2007,2007/2008
Ittihad Club,Nourdin Boukhari,28,Midfield,Attacking Midfield,Sparta R.,€1.45m,transfer,1450000.0,2008,2008/2009
Ittihad Club,Emad Meteb,25,Forward,Centre-Forward,El Ahly,loan fee:€800k,loan,800000.0,2008,2008/2009
Ittihad Club,Hicham Aboucherouane,27,Forward,Left Winger,Esperance,€600k,transfer,600000.0,2008,2008/2009
Ittihad Club,Ahmed Hadid,23,Midfield,Attacking Midfield,Al-Shamal SC,transfer,transfer,1300000.0,2008,2008/2009
Ittihad Club,Abdulaziz Al-Sobyani,20,Midfield,Midfield,Unknown,transfer,transfer,1300000.0,2008,2008/2009
Ittihad Club,Marzouq Al-Otaibi,32,Forward,Centre-Forward,Al-Nasr SC,transfer,transfer,1300000.0,2008,2008/2009
Ittihad Club,Luciano Leguizamón,26,Forward,Centre-Forward,Arsenal Sarandí,loan transfer,loan,0.0,2008,2008/2009
Ittihad Club,Omar Khudari,17,Forward,Second Striker,Ittihad Club,transfer,transfer,1300000.0,2008,2008/2009
Ittihad Club,Alhassane Keita,25,Forward,Centre-Forward,RCD Mallorca,free transfer,free,0.0,2008,2008/2009
Ittihad Club,Abdulrahman Al-Qahtani,25,Midfield,Left Midfield,Al-Ettifaq,free transfer,free,0.0,2008,2008/2009
Ittihad Club,Magno Alves,32,Forward,Centre-Forward,Umm Salal SC,free transfer,free,0.0,2008,2008/2009
Ittihad Club,Ahmad Al-Dokhi,31,Defence,Right-Back,Qatar SC,transfer,transfer,1300000.0,2008,2008/2009
Ittihad Club,Biscotte Mbala,23,Forward,Centre-Forward,Yverdon Sport,"end of loanjun 30, 2008",loan,0.0,2008,2008/2009
Ittihad Club,Emad Meteb,26,Forward,Centre-Forward,El Ahly,"end of loanmay 1, 2009",loan,0.0,2008,2008/2009
Al-Hilal SFC,Christian Wilhelmsson,28,Forward,Right Winger,FC Nantes,€3.50m,transfer,3500000.0,2008,2008/2009
Al-Hilal SFC,Ronald Raldes,27,Defence,Centre-Back,Rosario Central,€1.10m,transfer,1100000.0,2008,2008/2009
Al-Hilal SFC,Osama Hawsawi,24,Defence,Centre-Back,Al-Wehda,free transfer,free,0.0,2008,2008/2009
Al-Hilal SFC,Hassan Al-Otaibi,30,Goalkeeper,Goalkeeper,Al-Qadsiah FC,transfer,transfer,1300000.0,2008,2008/2009
Al-Hilal SFC,Nawaf Al-Abed,18,Midfield,Attacking Midfield,Al-Hilal FC,transfer,transfer,1300000.0,2008,2008/2009
Al-Hilal SFC,Salman Al-Faraj,18,Midfield,Central Midfield,Al-Hilal FC,transfer,transfer,1300000.0,2008,2008/2009
Al-Hilal SFC,Sultan Al-Beshi,18,Defence,Right-Back,Al-Hilal FC,transfer,transfer,1300000.0,2008,2008/2009
Al-Hilal SFC,Bader Al-Karashi,26,Forward,Attack,Al-Ahli SC,free transfer,free,0.0,2008,2008/2009
Al-Hilal SFC,Lelo Mbele,21,Forward,Centre-Forward,Esperance,loan transfer,loan,0.0,2008,2008/2009
Al-Hilal SFC,Marcelo Tavares,27,Defence,Centre-Back,Al-Rayyan SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Hilal SFC,Fahed Al-Mofarij,30,Defence,Centre-Back,Al-Ettifaq,transfer,transfer,1300000.0,2008,2008/2009
Al-Hilal SFC,Khaled Shrahili,21,Goalkeeper,Goalkeeper,Al-Raed,loan transfer,loan,0.0,2008,2008/2009
Al-Hilal SFC,Sultan Al-Bargan,25,Midfield,Defensive Midfield,Al-Ettifaq,loan transfer,loan,0.0,2008,2008/2009
Al-Hilal SFC,Nawaf Al-Temyat,32,Midfield,Attacking Midfield,Retired,retired,retired,0.0,2008,2008/2009
Al-Hilal SFC,Marco Vanzini,32,Midfield,Defensive Midfield,Retired,retired,retired,0.0,2008,2008/2009
Al-Hilal SFC,Baba Adamu,28,Forward,Centre-Forward,Asante Kotoko,"end of loanjun 30, 2008",loan,0.0,2008,2008/2009
Al-Ahli SFC,Hassan Al-Raheb,24,Forward,Second Striker,Khaleej,€775k,transfer,775000.0,2008,2008/2009
Al-Ahli SFC,Harison,28,Forward,Right Winger,Leiria,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Bader Al-Karashi,26,Forward,Attack,Al-Hilal FC,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Adel Maïza,25,Defence,Centre-Back,ES Sétif,transfer,transfer,1300000.0,2008,2008/2009
Al-Ahli SFC,Karam Barnawi,21,Defence,Right-Back,Al-Ansar,transfer,transfer,1300000.0,2008,2008/2009
Al-Ahli SFC,Josimar Mosquera,26,Defence,Centre-Back,Arsenal Sarandí,loan transfer,loan,0.0,2008,2008/2009
Al-Ahli SFC,Abdulrahim Jaizawi,19,Forward,Left Winger,Al-Ahli SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Ahli SFC,Hussain Al-Absi,20,Forward,Attack,Al-Ahli SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Ahli SFC,Taiseer Al-Jassam,24,Midfield,Central Midfield,Qatar SC,"end of loanjun 30, 2009",loan,0.0,2008,2008/2009
Al-Ahli SFC,Hussein Abdulghani,31,Defence,Left-Back,Xamax,€500k,transfer,500000.0,2008,2008/2009
Al-Ahli SFC,Caio,27,Midfield,Attacking Midfield,EC Bahia,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Saleh Al-Mohammadi,27,Midfield,Attacking Midfield,Abha Club,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Harison,28,Forward,Right Winger,Al-Wehda,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Waleed Al-Gizani,27,Forward,Centre-Forward,Al-Hazem,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Val Baiano,27,Forward,Centre-Forward,Barueri,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Ali Al-Turki,19,Midfield,Right Midfield,Najran SC,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Ali Al-Abdali,29,Defence,Right-Back,Al-Raed,free transfer,free,0.0,2008,2008/2009
Al-Ahli SFC,Taiseer Al-Jassam,24,Midfield,Central Midfield,Qatar SC,loan transfer,loan,0.0,2008,2008/2009
Al-Ahli SFC,Leandro Silva,28,Defence,Centre-Back,Galo Maringá,"end of loanjun 30, 2008",loan,0.0,2008,2008/2009
Al-Shabab FC,Renato Abreu,30,Midfield,Attacking Midfield,Al-Nasr SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Shabab FC,Youssef Al-Salem,23,Forward,Centre-Forward,Al-Qadsiah FC,transfer,transfer,1300000.0,2008,2008/2009
Al-Shabab FC,Abdulmalek Al-Khaibri,22,Midfield,Defensive Midfield,Al-Qadsiah FC,transfer,transfer,1300000.0,2008,2008/2009
Al-Shabab FC,Talal Al-Bloushi,22,Midfield,Defensive Midfield,Al-Sadd SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Shabab FC,Hussein Shae'an,19,Goalkeeper,Goalkeeper,Unknown,transfer,transfer,1300000.0,2008,2008/2009
Al-Shabab FC,Juan Manuel Martínez,22,Forward,Right Winger,Vélez Sarsfield,"end of loanjun 30, 2008",loan,0.0,2008,2008/2009
Al-Nassr FC,Razak Omotoyossi,22,Forward,Centre-Forward,Helsingborgs IF,€2.20m,transfer,2200000.0,2008,2008/2009
Al-Nassr FC,Éder Gaúcho,30,Defence,Centre-Back,Leiria,free transfer,free,0.0,2008,2008/2009
Al-Nassr FC,Bader Al-Nakhli,20,Defence,Centre-Back,Al-Qadsiah FC,transfer,transfer,1300000.0,2008,2008/2009
Al-Nassr FC,Hassan Rabia,25,Forward,Centre-Forward,Majees SC,loan transfer,loan,0.0,2008,2008/2009
Al-Nassr FC,Marzouq Al-Otaibi,32,Forward,Centre-Forward,Ittihad Club,transfer,transfer,1300000.0,2008,2008/2009
Al-Nassr FC,Porfírio,34,Forward,Centre-Forward,Retired,retired,retired,0.0,2008,2008/2009
Al-Nassr FC,Abdelkarim Nafti,26,Midfield,Attacking Midfield,CS Sfaxien,"end of loanjun 30, 2008",loan,0.0,2008,2008/2009
Al-Nassr FC,Issam Mardassi,27,Defence,Centre-Back,CS Sfaxien,"end of loanjun 30, 2008",loan,0.0,2008,2008/2009
Al-Ettifaq FC,Paulo Sérgio,27,Midfield,Defensive Midfield,Coimbra,loan fee:€75k,loan,75000.0,2008,2008/2009
Al-Ettifaq FC,Abdulrahman Al-Qahtani,25,Midfield,Left Midfield,Ittihad Club,free transfer,free,0.0,2008,2008/2009
Al-Ettifaq FC,Abdullah Al-Dawsari,18,Defence,Right-Back,Unknown,transfer,transfer,1300000.0,2008,2008/2009
Al-Ettifaq FC,Mohamad Roubize,22,Midfield,Central Midfield,Difaâ El Jadida,transfer,transfer,1300000.0,2008,2008/2009
Al-Ettifaq FC,Mohanad Al Ibrahim,22,Forward,Attack,Al-Karamah SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Ettifaq FC,Fahed Al-Mofarij,30,Defence,Centre-Back,Al-Hilal FC,transfer,transfer,1300000.0,2008,2008/2009
Al-Ettifaq FC,Jamaan Al-Jamaan,26,Defence,Centre-Back,Unknown,transfer,transfer,1300000.0,2008,2008/2009
Al-Ettifaq FC,Sultan Al-Bargan,25,Midfield,Defensive Midfield,Al-Hilal FC,loan transfer,loan,0.0,2008,2008/2009
Al-Ettifaq FC,Mohannad Ibrahim,23,Forward,Centre-Forward,Al-Karamah SC,loan transfer,loan,0.0,2008,2008/2009
Al-Ettifaq FC,Abdullah Al-Saleh,20,Goalkeeper,Goalkeeper,Al-Ettifaq,transfer,transfer,1300000.0,2008,2008/2009
Al-Wehda FC,Amir Akrout,25,Forward,Centre-Forward,Stade Tunisien,loan fee:€500k,loan,500000.0,2008,2008/2009
Al-Wehda FC,Harison,28,Forward,Right Winger,Al-Ahli SC,free transfer,free,0.0,2008,2008/2009
Al-Wehda FC,Omar Daoud,25,Defence,Centre-Back,Al-Ahli SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Wehda FC,Osama Hawsawi,24,Defence,Centre-Back,Al-Hilal FC,free transfer,free,0.0,2008,2008/2009
Al-Wehda FC,Pierre Njanka,33,Defence,Right-Back,Persija Jakarta,free transfer,free,0.0,2008,2008/2009
Al-Wehda FC,Harison,29,Forward,Right Winger,Guarani,loan transfer,loan,0.0,2008,2008/2009
Al-Wehda FC,Abdullah Sulaiman Zubromawi,34,Defence,Centre-Back,Retired,retired,retired,0.0,2008,2008/2009
Al-Hazem SC,Waleed Al-Gizani,27,Forward,Centre-Forward,Al-Ahli SC,free transfer,free,0.0,2008,2008/2009
Al-Hazem SC,Kodjo Afanou,30,Defence,Centre-Back,Without Club,transfer,transfer,1300000.0,2008,2008/2009
Al-Hazem SC,Godwin Attram,27,Forward,Centre-Forward,Al-Shabab SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Hazem SC,Said Al-Shoon,24,Defence,Defence,Kazma SC,transfer,transfer,1300000.0,2008,2008/2009
Najran SC,Ali Al-Turki,19,Midfield,Right Midfield,Al-Ahli SC,free transfer,free,0.0,2008,2008/2009
Najran SC,Abdelfattah Safi,27,Midfield,Midfield,Entente SSG,transfer,transfer,1300000.0,2008,2008/2009
Najran SC,Abdulaziz Al-Hamsal,21,Midfield,Right Midfield,Najran SC U23,transfer,transfer,1300000.0,2008,2008/2009
Najran SC,Wilsinho,25,Forward,Left Winger,Al-Wakrah SC,transfer,transfer,1300000.0,2008,2008/2009
Najran SC,Bamba Drissa,23,Midfield,Defensive Midfield,Olympique Beja,transfer,transfer,1300000.0,2008,2008/2009
Al-Raed SFC,Ali Al-Abdali,29,Defence,Right-Back,Al-Ahli SC,free transfer,free,0.0,2008,2008/2009
Al-Raed SFC,Raed Al-Amri,19,Defence,Left-Back,Al-Watani,transfer,transfer,1300000.0,2008,2008/2009
Al-Raed SFC,Saleh Abdulhameed,25,Defence,Centre-Back,Al-Nasr SC,transfer,transfer,1300000.0,2008,2008/2009
Al-Raed SFC,Tarik Miri,30,Defence,Defence,O. Khouribga,transfer,transfer,1300000.0,2008,2008/2009
Al-Raed SFC,Khaled Shrahili,21,Goalkeeper,Goalkeeper,Al-Hilal FC,loan transfer,loan,0.0,2008,2008/2009
Al-Raed SFC,Tarik Miri,31,Defence,Defence,Kawkab Marrak.,transfer,transfer,1300000.0,2008,2008/2009
Abha Club,Saleh Al-Mohammadi,27,Midfield,Attacking Midfield,Al-Ahli SC,free transfer,free,0.0,2008,2008/2009
Abha Club,Khalid Zouine,27,Midfield,Midfield,Ittihad Tanger,transfer,transfer,1300000.0,2008,2008/2009
Al-Watani,Yacine Hima,24,Midfield,Central Midfield,AC Bellinzona,free transfer,free,0.0,2008,2008/2009
Al-Watani,Sylvain Idangar,24,Forward,Left Winger,ES Sétif,free transfer,free,0.0,2008,2008/2009
Al-Watani,Raed Al-Amri,19,Defence,Left-Back,Al-Raed,transfer,transfer,1300000.0,2008,2008/2009
Ittihad Club,Renato Cajá,24,Midfield,Attacking Midfield,Ponte Preta,€2.60m,transfer,2600000.0,2008,2008/2009
Ittihad Club,Naif Al-Balawi,22,Forward,Centre-Forward,Al-Watani,transfer,transfer,1300000.0,2008,2008/2009
Ittihad Club,Nourdin Boukhari,28,Midfield,Attacking Midfield,NAC Breda,free transfer,free,0.0,2008,2008/2009
Al-Hilal SFC,Mirel Radoi,27,Midfield,Defensive Midfield,Steaua Bucharest,€6.00m,transfer,6000000.0,2008,2008/2009
Al-Hilal SFC,Ki-hyeon Seol,29,Forward,Right Winger,Fulham,loan transfer,loan,0.0,2008,2008/2009
Al-Hilal SFC,Lelo Mbele,21,Forward,Centre-Forward,Esperance,"end of loandec 1, 2008",loan,0.0,2008,2008/2009
Al-Hilal SFC,Lelo Mbele,21,Forward,Centre-Forward,Al-Hilal FC,€750k,transfer,750000.0,2008,2008/2009
Al-Hilal SFC,Khaled Al-Anqari,26,Defence,Defence,Unknown,free transfer,free,0.0,2008,2008/2009
Al-Hilal SFC,Ronald Raldes,27,Defence,Centre-Back,Without Club,transfer,transfer,1300000.0,2008,2008/2009
Al-Ahli SFC,Walid Soliman,24,Forward,Right Winger,Petrojet,loan fee:€400k,loan,400000.0,2008,2008/2009
Al-Ahli SFC,Ibrahima Gueyé,30,Defence,Centre-Back,Red Star,€200k,transfer,200000.0,2008,2008/2009
Al-Ahli SFC,Baha'a Abdulrahman,22,Midfield,Defensive Midfield,Al-Faisaly SC,loan transfer,loan,0.0,2008,2008/2009
Al-Ahli SFC,Youcef Saïbi,26,Forward,Centre-Forward,USM El Harrach,loan transfer,loan,0.0,2008,2008/2009
Al-Ahli SFC,Adel Maïza,25,Defence,Centre-Back,USM Annaba,transfer,transfer,1300000.0,2008,2008/2009
Al-Shabab FC,Ahmad Al-Azemi,24,Forward,Centre-Forward,Qadsia SC,loan transfer,loan,0.0,2008,2008/2009
Al-Nassr FC,Hossam Ghaly,27,Midfield,Central Midfield,Tottenham,free transfer,free,0.0,2008,2008/2009
Al-Nassr FC,Mehdi Shiri,30,Midfield,Central Midfield,Bargh Shiraz FC,loan transfer,loan,0.0,2008,2008/2009
Al-Nassr FC,Razak Omotoyossi,23,Forward,Centre-Forward,Without Club,transfer,transfer,1300000.0,2008,2008/2009
Al-Ettifaq FC,Yaqoub Al-Taher,25,Defence,Right-Back,Kuwait SC,loan transfer,loan,0.0,2008,2008/2009
Al-Wehda FC,Mejdi Traoui,25,Midfield,Central Midfield,RB Salzburg,loan fee:€400k,loan,400000.0,2008,2008/2009
Al-Wehda FC,Raja Rafe,25,Forward,Centre-Forward,Al-Majd,loan transfer,loan,0.0,2008,2008/2009
